Kanji,Kana,Romaji,Ý nghĩa
本屋,ほんや,honya,Hiệu sách
トイレ,トイレ,toire,Nhà vệ sinh
売り場,うりば,uriba,Quầy bán hàng
学校,がっこう,gakkou,Trường học
ロビー,ロビー,robii,"Hành lang, đại sảnh"
スーパー,スーパー,suupaa,Siêu thị
受付,うけつけ,uketsuke,"Bộ phận tiếp tân, lễ tân"
教室,きょうしつ,kyoushitsu,Phòng học
家,いえ,ie,Nhà ở
電気,でんき,denki,Đèn điện
会議室,かいぎしつ,kaigishitsu,Phòng họp
食堂,しょくどう,shokudou,"Nhà ăn, phòng ăn"
エレベーター,エレベーター,erebeetaa,Thang máy
エスカレーター,エスカレーター,esukareetaa,"Thang cuốn, thang cuộn"
階段,かいだん,kaidan,Cầu thang
駐車場,ちゅうしゃじょう,chuushajou,Bãi đỗ xe
事務所,じむしょ,jimusho,Văn phòng
ワイン,ワイン,wain,Rượu vang
靴,くつ,kutsu,Giày
電話,でんわ,denwa,Điện thoại
パン,パン,pan,Bánh mì
ネクタイ,ネクタイ,nekutai,Cà vạt
お手洗い,おてあらい,otearai,"Toa-lét, nhà vệ sinh"
コーヒー,コーヒー,koohii,Cà phê
たばこ,たばこ,tabako,Thuốc lá
国,くに,kuni,"Đất nước, quốc gia"
ここ,ここ,koko,"Chỗ này, đây"
そこ,そこ,soko,"Chỗ đó, đó"
あそこ,あそこ,asoko,"Đằng kia, chỗ kia"
どこ,どこ,doko,"Chỗ nào, ở đâu"
こちら,こちら,kochira,"Phía này, đằng này, đây (cách nói lịch sự của ここ)"
何階,なんがい,nangai,"Tầng mấy, tầng nào"
どちら,どちら,dochira,"Phía nào, đằng nào, chỗ nào (cách nói lịch sự của どこ)"
そちら,そちら,sochira,"Phía đó, đằng đó, chỗ đó (cách nói lịch sự của そこ)"
あちら,あちら,achira,"Phía kia, đằng kia, chỗ kia ( cách nói lịch sự của あそこ)"
幾ら,いくら,ikura,Bao nhiêu tiền
カフェ,カフェ,kafe,Quán cà phê
アルコール,アルコール,arukooru,"Cồn, rượu"
