Kanji,Kana,Romaji,Ý nghĩa
一時,いちじ,ichiji,1 giờ
二時,にじ,niji,2 giờ
三時,さんじ,sanji,3 giờ
四時,よじ,yoji,4 giờ
五時,ごじ,goji,5 giờ
六時,ろくじ,rokuji,6 giờ
七時,しちじ,shichiji,7 giờ
八時,はちじ,hachiji,8 giờ
九時,くじ,kuji,9 giờ
十時,じゅうじ,juuji,10 giờ
十一時,じゅういちじ,juuichiji,11 giờ
何時,なんじ,nanji,Mấy giờ
十二時,じゅうにじ,juuniji,12 giờ
一分,いっぷん,ippun,1 phút
二分,にふん,nifun,2 phút
三分,さんぷん,sanpun,3 phút
四分,よんぷん,yonpun,4 phút
五分,ごふん,gofun,5 phút
六分,ろっぷん,roppun,6 phút
七分,ななふん,nanafun,7 phút
八分,はっぷん,happun,8 phút
九分,きゅうふん,kyuufun,9 phút
十分,じっぷん,jippun,10 phút
月曜日,げつようび,getsuyoubi,Thứ 2
火曜日,かようび,kayoubi,Thứ 3
水曜日,すいようび,suiyoubi,Thứ 4
木曜日,もくようび,mokuyoubi,Thứ 5
金曜日,きんようび,kinyoubi,Thứ 6
土曜日,どようび,doyoubi,Thứ 7
日曜日,にちようび,nichiyoubi,Chủ nhật
先週,せんしゅう,senshuu,Tuần trước
今週,こんしゅう,konshuu,Tuần này
来週,らいしゅう,raishuu,Tuần sau
秒,びょう,byou,Giây
昨日,きのう,kinou,Hôm qua
今日,きょう,kyou,Hôm nay
明日,あした,ashita,Ngày mai
朝,あさ,asa,Buổi sáng
昼,ひる,hiru,Buổi trưa
一昨日,おととい,ototoi,Hôm kia
明後日,あさって,asatte,"Ngày kia, ngày mốt"
晩,ばん,ban,Buổi tối
夜,よる,yoru,"Đêm tối, buổi đêm"
今,いま,ima,Bây giờ
今朝,けさ,kesa,Sáng nay
午後,ごご,gogo,"Chiều, buổi chiều"
午前,ごぜん,gozen,"Buổi sáng, sáng"
今晩,こんばん,konban,Tối nay
毎日,まいにち,mainichi,Hàng ngày
毎朝,まいあさ,maiasa,"Mỗi sáng, mọi sáng"
毎晩,まいばん,maiban,"Hàng đêm, mỗi tối"
寿司,すし,sushi,Sushi
デパート,デパート,depaato,Cửa hàng bách hóa
ご飯,ごはん,gohan,Cơm
ドラマ,ドラマ,dorama,Phim truyền hình
授業,じゅぎょう,jugyou,"Buổi học, giờ học"
銀行,ぎんこう,ginkou,"Ngân hàng, nhà băng"
美術館,びじゅつかん,bijutsukan,Bảo tàng mỹ thuật
番号,ばんごう,bangou,Số hiệu
健康,けんこう,kenkou,Sức khỏe
大変,たいへん,taihen,"Vất vả, khó khăn"
仕事,しごと,shigoto,"Công việc, nghề nghiệp"
図書館,としょかん,toshokan,Thư viện
起きます,おきます,okimasu,Thức dậy
勉強します,べんきょうします,benkyoushimasu,Học tập
行きます,いきます,ikimasu,Đi
食べます,たべます,tabemasu,Ăn
見ます,みます,mimasu,"Nhìn, xem"
寝ます,ねます,nemasu,Ngủ
休みます,やすみます,yasumimasu,Nghỉ ngơi
働きます,はたらきます,hatarakimasu,Làm việc
掛かります,かかります,kakarimasu,"Tốn, mất (thời gian, tiền bạc...)"
終わります,おわります,owarimasu,Kết thúc
始まります,はじまります,hajimarimasu,Bắt đầu
昼休み,ひるやすみ,hiruyasumi,"Sự nghỉ trưa, giờ nghỉ trưa"
美容院,びよういん,biyouin,Thẩm mỹ viện
蕎麦,そば,soba,Mỳ soba
ランチ,ランチ,ranchi,Bữa trưa
お握り,おにぎり,onigiri,Cơm nắm
デザート,デザート,dezaato,Món tráng miệng
